id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev
304958,8.93,Westerpark,2,130,98,11440
2818,8.8,Oostelijk Havengebied - Indische Buurt,2,69,97,44712
103026,8.74,De Baarsjes - Oud-West,1,95,92,8550
550017,8.62,Centrum-Oost,1,110,97,8800
4728389,8.57,Centrum-West,2,250,100,1000
5181918,8.57,Centrum-West,1,115,95,920
2774924,8.53,Zuid,1,80,95,15840
23651,8.35,De Pijp - Rivierenbuurt,1,80,96,34560
738245,8.23,Centrum-West,1,90,93,4320
8061,8.08,De Baarsjes - Oud-West,2,95,100,1140
98558,7.98,Centrum-Oost,1,145,99,16530
9693,7.91,Centrum-West,1,132,99,35904
2323819,7.85,Bos en Lommer,1,79,100,2054
280105,7.79,Centrum-West,2,245,99,17640
933385,7.79,De Baarsjes - Oud-West,2,82,98,6232
1182306,7.74,Zuid,1,59,95,6844
75583,7.62,Slotervaart,2,65,99,27820
15061,7.62,Westerpark,2,86,95,19952
20168,7.62,Centrum-Oost,1,50,83,2500
3903880,7.62,Centrum-Oost,1,50,86,1400
1030014,7.59,Centrum-West,1,69,90,5382
43980,7.56,Zuid,2,80,77,14720
85767,7.56,Centrum-West,4,80,73,15680
3739250,7.49,Centrum-Oost,2,110,88,3300
3261215,7.46,Centrum-West,1,74,97,13024
2820641,7.44,Centrum-West,5,250,96,51000
3302169,7.44,Centrum-West,6,200,90,2400
1756765,7.44,De Baarsjes - Oud-West,3,180,94,37800
743666,7.44,De Baarsjes - Oud-West,4,200,95,86400
468132,7.44,De Pijp - Rivierenbuurt,3,160,89,49920
822614,7.44,De Pijp - Rivierenbuurt,3,200,91,38400
2396344,7.44,Oud-Oost,5,160,89,24000
5275545,7.44,De Baarsjes - Oud-West,3,120,90,1440
857794,7.44,Centrum-Oost,2,120,92,32400
236632,7.44,De Pijp - Rivierenbuurt,2,100,96,31200
999908,7.44,Oud-Oost,2,75,87,14250
2821480,7.44,Centrum-West,4,140,96,15960
3414536,7.44,Westerpark,1,160,94,12480
2821284,7.44,Centrum-West,2,120,95,17280
20818,7.43,Centrum-Oost,2,80,100,640
4069573,7.4,De Pijp - Rivierenbuurt,6,206,40,1236
948808,7.4,De Pijp - Rivierenbuurt,3,140,83,8400
4374110,7.4,Westerpark,2,200,90,2400
2436846,7.4,Centrum-West,3,227,87,24516
539036,7.4,Centrum-Oost,2,140,88,31080
85941,7.4,Centrum-West,2,200,95,30000
27886,7.31,Centrum-West,1,135,100,5940
3985308,7.31,De Baarsjes - Oud-West,1,90,100,6480
178841,7.31,Westerpark,1,95,85,16530
4641463,7.29,Centrum-West,4,179,93,7876
25488,7.26,Oostelijk Havengebied - Indische Buurt,3,120,91,66240
253792,7.26,Centrum-West,1,230,98,20700
25489,7.26,Centrum-Oost,2,195,94,19500
343195,7.19,Centrum-Oost,1,100,88,15200
78033,7.19,Centrum-Oost,1,55,88,26620
28658,7.17,De Baarsjes - Oud-West,3,60,93,52320
2405985,7.17,Bos en Lommer,1,60,89,9360
28871,7.17,Centrum-Oost,1,90,100,1080
270777,7.17,Centrum-West,1,120,93,53280
29217,7.16,Zuid,2,180,87,50040
4052965,7.16,De Pijp - Rivierenbuurt,1,100,90,18600
1018703,7.16,Zuid,1,100,92,27600
1088859,7.16,De Baarsjes - Oud-West,1,100,99,7200
29554,7.16,Centrum-West,1,130,96,65520
4120357,7.16,Centrum-West,2,110,93,6600
30431,7.14,Centrum-Oost,1,120,95,3600
3186920,7.13,De Baarsjes - Oud-West,1,95,100,4940
31080,7.13,Zuid,3,180,97,18720
1819449,7.13,Centrum-West,1,100,97,600
1362929,7.1,Centrum-West,2,200,88,7200
34357,7.07,Westerpark,2,129,100,7224
1395250,7.07,Centrum-West,1,80,92,3200
1039519,7.02,Centrum-West,3,150,98,5400
248461,6.99,Centrum-Oost,2,89,91,66928
1055452,6.99,De Baarsjes - Oud-West,1,125,93,15000
39688,6.99,Bos en Lommer,2,130,100,5200
3717606,6.99,De Pijp - Rivierenbuurt,2,120,80,480
41075,6.98,Bos en Lommer,2,67,93,8308
3749010,6.98,IJburg - Zeeburgereiland,4,275,90,4950
1758862,6.97,De Pijp - Rivierenbuurt,6,89,94,26344
41321,6.97,De Baarsjes - Oud-West,2,85,92,70890
42161,6.96,Watergraafsmeer,2,129,93,1548
82482,6.96,Centrum-West,1,85,89,50490
42908,6.95,De Pijp - Rivierenbuurt,2,125,100,4000
42970,6.95,Centrum-West,1,139,97,119540
253650,6.95,Centrum-West,1,139,97,66720
568110,6.95,Centrum-West,1,195,94,20280
634772,6.95,Centrum-West,1,170,100,680
44129,6.95,Centrum-West,1,200,98,54400
2517619,6.95,Centrum-Oost,1,120,96,12240
43054,6.95,Watergraafsmeer,2,74,84,4440
939349,6.94,Buitenveldert - Zuidas,1,90,90,360
282108,6.94,Centrum-West,1,129,100,58824
1491339,6.94,Westerpark,1,120,93,2160
2394430,6.94,Westerpark,2,200,97,8000
1913383,6.93,Centrum-Oost,1,185,90,1480
771758,6.93,Slotervaart,1,55,84,5280
44805,6.93,Oostelijk Havengebied - Indische Buurt,2,85,90,52530
5421998,6.93,Centrum-West,2,145,90,580
45125,6.92,Centrum-Oost,2,135,98,46170
45246,6.92,Westerpark,1,140,92,52080
5150374,6.91,De Pijp - Rivierenbuurt,1,90,85,720
45618,6.91,Westerpark,3,105,95,61320
45704,6.91,De Baarsjes - Oud-West,1,67,88,57486
983021,6.91,De Baarsjes - Oud-West,1,57,85,10944
155050,6.91,De Baarsjes - Oud-West,1,57,88,38646
